Keywords,Definitions
Binoculars,"n.pl. Instrument with a lens for each eye, for viewing distant objects."
Binomial,n. Algebraic expression of the sum or the difference of two terms. adj. Of two terms. [greek nomos part]
Binomial theorem,n. Formula for finding any power of a binomial.
Bint,"n. Slang, usu. Offens. Girl or woman. [arabic]"
Bio-,comb. Form 1 life (biography). 2 biological; of living things. [greek bios life]
Biochemistry,n. The study of the chemistry of living organisms.
Biodegradable,adj. Capable of being decomposed by bacteria or other living organisms.
Bioengineering,"n. 1 the application of engineering techniques to biological processes. 2 the use of artificial tissues, organs, etc. To replace parts of the body, e.g. Artificial limbs, pacemakers, etc."
Biogenesis,n. 1 hypothesis that a living organism arises only from a similar living organism. 2 synthesis of substances by living organisms.
Biography,"n. (pl. -ies) 1 account of a person's life, written usu. By another. 2 these as a literary genre."
Biological,adj. Of biology or living organisms.
Biological clock,n. Innate mechanism controlling an organism's rhythmic physiological activities.
Biological warfare,n. Use of toxins or micro-organisms against an enemy.
Biology,n. The study of living organisms.
Bionic,adj. Having electronically operated body parts or the resulting superhuman powers. [from *bio- after *electronic]
Bionics,n.pl. (treated as sing.) The study of mechanical systems that function like living organisms.
Biophysics,n.pl. (treated as sing.) Science of the application of the laws of physics to biological phenomena.
Biopsy,"n. (pl. -ies) examination of severed tissue for diagnosis. [greek bios life, opsis sight]"
Biorhythm,n. Any recurring biological cycle thought to affect one's physical or mental state.
Biosphere,n. Regions of the earth's crust and atmosphere occupied by living things. [german: related to *bio-]
Biosynthesis,n. Production of organic molecules by living organisms.
Biotechnology,"n. Branch of technology exploiting biological processes, esp. Using micro-organisms, in industry, medicine, etc."
Biotin,"n. Vitamin of the b complex, found in egg-yolk, liver, and yeast. [greek bios life]"
Bipartisan,adj. Of or involving two parties.
Bipartite,adj. 1 of two parts. 2 shared by or involving two parties. [latin bipartio divide in two]
Biped,n. Two-footed animal. adj. Two-footed.
Biplane,"n. Aeroplane with two sets of wings, one above the other."
Bipolar,adj. Having two poles or extremities.
Birch,"n. 1 tree with pale hard wood and thin peeling bark, bearing catkins. 2 bundle of birch twigs used for flogging. v. Beat with a birch. [old english]"
Bird,"n. 1 two-legged feathered winged vertebrate, egg-laying and usu. Able to fly. 2 slang young woman. 3 slang person. 4 slang prison; prison sentence."
Bird-bath,n. Basin with water for birds to bathe in.
Birdbrain,n. Colloq. Stupid or flighty person.
Birdcage,n. Cage for birds.
Birdie,n. 1 colloq. Little bird. 2 golf hole played in one under par.
Birdlime,n. Sticky substance spread to trap birds.
Bird-nesting,n. Hunting for birds' eggs.
Bird of paradise,"n. Bird, the male of which has brilliant plumage."
Bird of passage,n. 1 migrant. 2 habitual traveller.
Bird of prey,n. Bird which hunts animals for food.
Birdseed,n. Blend of seeds for caged birds.
Bird's-eye view,n. Detached view from above.
Birdsong,n. Musical cry of birds.
Bird table,n. Platform on which food for birds is placed.
Bird-watcher,n. Person who observes wild birds as a hobby.
Biretta,n. Square usu. Black cap worn by roman catholic priests. [latin birrus cape]
Biro,"n. (pl. -s) propr. A kind of ball-point pen. [bir, name of its inventor]"
Birth,n. 1 emergence of a baby or young from its mother's body. 2 beginning (birth of civilization). 3 a ancestry (of noble birth). B high or noble birth; inherited position.
Birth certificate,n. Official document detailing a person's birth.
Birth control,n. Contraception.
Birthday,n. 1 day on which one was born. 2 anniversary of this.
Birthing pool,n. Large bath for giving birth in.
Birthmark,n. Unusual coloured mark on one's body at or from birth.
Birthplace,n. Place where one was born.
Birth rate,n. Number of live births per thousand of population per year.
Birthright,"n. Inherited, esp. Property, rights."
Birthstone,n. Gem popularly associated with the month of one's birth.
Biscuit,"n. 1 flat thin unleavened cake, usu. Crisp and sweet. 2 fired unglazed pottery. 3 light brown colour. [latin bis twice, coquo cook]"
Bisect,"v. Divide into two (strictly, equal) parts."
Bisexual,adj. 1 feeling or involving sexual attraction to people of both sexes. 2 hermaphrodite. n. Bisexual person.
Bishop,n. 1 senior clergyman in charge of a diocese. 2
Bishopric,n. Office or diocese of a bishop.
Bismuth,n. 1 reddish-white metallic element used in alloys etc. 2 compound of it used medicinally. [german]
Bison,n. (pl. Same) wild hump-backed ox of europe or n. America. [latin from germanic]
Bisque1,"n. Rich soup, esp. Of lobster. [french]"
Bisque2,n. Advantage of one free point or stroke in certain games. [french]
Bisque3,n. = *biscuit 2.
Bister,n. (brit. Bistre) brownish pigment from wood soot. [french]
Bistre,n. (us bister) brownish pigment from wood soot. [french]
Bistro,n. (pl. -s) small informal restaurant. [french]
Bit1,"n. 1 small piece or quantity. 2 (prec. By a) fair amount (sold quite a bit). 3 often colloq. Short or small time, distance, or amount (wait a bit; move up a bit; a bit tired; a bit of an idiot)."
Bit2,past of *bite.
Bit3,"n. 1 metal mouthpiece of a bridle. 2 tool or piece for boring or drilling. 3 cutting or gripping part of a plane, pincers, etc. [old english]"
Bit4,n. Computing unit of information expressed as a choice between two possibilities. [binary digit]
Bitch,n. 1 female dog or other canine animal. 2 slang offens. Spiteful woman. 3 slang unpleasant or difficult thing. v. 1 speak scathingly or spitefully. 2 complain. [old english]
Bitchy,"adj. (-ier, -iest) slang spiteful."
Bite,"v. (-ting; past bit; past part. Bitten) 1 cut or puncture with the teeth. 2 (foll. By off, away, etc.) Detach thus. 3 (of an insect etc.) Sting. 4 (of a wheel etc.) Grip, penetrate. 5 accept bait or an inducement. 6 be harsh in effect, esp. Intentionally. 7 (in passive) a swindle. B (foll. By by, with, etc.) Be infected by (enthusiasm etc.). 8 colloq. Worry, perturb. 9 cause smarting pain (biting wind). 10 be sharp or effective (biting wit). 11 (foll. By at) snap at. n. 1 act of biting. 2 wound etc. Made by biting. 3 a mouthful of food. B snack. 4 taking of bait by a fish. 5 pungency (esp. Of flavour). 6 incisiveness, sharpness. 7 position of the teeth when the jaws are closed."
Bit on the side,n. Slang sexual relationship involving infidelity.
Bit part,n. Minor role.
Bitter,"adj. 1 having a sharp pungent taste; not sweet. 2 causing, showing, or feeling mental pain or resentment (bitter memories). 3 a harsh; virulent (bitter animosity). B piercingly cold. n. 1 beer flavoured with hops and tasting slightly bitter. 2 (in pl.) Liquor flavoured esp. With wormwood, used in cocktails."
Bittern,n. Wading bird of the heron family. [french butor from latin butio]
Bitter-sweet,adj. Sweet with a bitter aftertaste. n. 1 such sweetness. 2 = *woody nightshade.
Bitty,"adj. (-ier, -iest) made up of bits; scrappy."
Bitumen,n. Tarlike mixture of hydrocarbons derived from petroleum. [latin]
Bituminous,adj. Of or like bitumen.
Bituminous coal,n. Coal burning with a smoky flame.
Bivalve,"n. Aquatic mollusc with a hinged double shell, e.g. The oyster and mussel. adj. With such a shell."
Bivouac,"n. Temporary open encampment without tents. v. (-ck-) make, or camp in, a bivouac. [french, probably from german]"
Biz,n. Colloq. Business. [abbreviation]
Bizarre,adj. Strange; eccentric; grotesque. [french]
Bk,symb. Berkelium.
Bl,abbr. British library.
Blab,v. (-bb-) 1 talk foolishly or indiscreetly. 2 reveal (a secret etc.); confess. [imitative]
Blabber,n. (also blabbermouth) person who blabs. v. (often foll. By on) talk foolishly or inconsequentially.
Black,"adj. 1 reflecting no light, colourless from lack of light (like coal or soot); completely dark. 2 (black) of the human group with dark-coloured skin, esp. African. 3 (of the sky etc.) Heavily overcast. 4 angry; gloomy (black look, mood). 5 implying disgrace etc. (in his black books). 6 wicked, sinister, deadly. 7 portending trouble (things look black). 8 comic but sinister (black comedy). 9 (of tea or coffee) without milk. 10 (of industrial labour or its products) boycotted, esp. By a trade union, in a strike etc. n. 1 black colour or pigment. 2 black clothes or material (dressed in black). 3 a (in a game) black piece, ball, etc. B player of this. 4 credit side of an account (in the black)."
Black,"adj. 1 reflecting no light, colourless from lack of light (like coal or soot); completely dark. 2 (black) of the human group with dark-coloured skin, esp. African. 3 (of the sky etc.) Heavily overcast. 4 angry; gloomy (black look, mood). 5 implying disgrace etc. (in his black books). 6 wicked, sinister, deadly. 7 portending trouble (things look black). 8 comic but sinister (black comedy). 9 (of tea or coffee) without milk. 10 (of industrial labour or its products) boycotted, esp. By a trade union, in a strike etc. n. 1 black colour or pigment. 2 black clothes or material (dressed in black). 3 a (in a game) black piece, ball, etc. B player of this. 4 credit side of an account (in the black). 5 (black) member of a dark-skinned race, esp. An african. v. 1 make black (blacked his boots). 2 declare (goods etc.) black."
Black and blue,adj. Bruised.
Black and white,"n. Writing or printing (in black and white). adj. 1 (of a film etc.) Monochrome. 2 consisting of extremes only, oversimplified."
Black art,n. = *black magic.
Blackball,v. Reject (a candidate) in a ballot.
Black beetle,n. The common cockroach.
Black belt,"n. 1 highest grade of proficiency in judo, karate, etc. 2 holder of this grade, entitled to wear a black belt."
Blackberry,n. (pl. -ies) black fleshy edible fruit of the bramble.
Blackbird,n. Common thrush of which the male is black with an orange beak.
Blackboard,n. Board with a smooth dark surface for writing on with chalk.
Black box,n. Flight-recorder.
Blackcap,"n. Small warbler, the male of which has a black-topped head."
Black country,n. (prec. By the) industrial area of the midlands.
Blackcurrant,n. 1 cultivated flowering shrub. 2 its small dark edible berry.
Black death,n. (prec. By the) 14th-c. Plague in europe.
Black economy,n. Unofficial and untaxed trade.
Blacken,"v. 1 make or become black or dark. 2 defame, slander."
Black eye,n. Bruised skin around the eye.
Black flag,n. Flag of piracy.
Blackfly,n. 1 dark coloured thrips or aphid. 2 these collectively.
Black forest gateau,n. Chocolate sponge with cherries and whipped cream.
Black friar,n. Dominican friar.
"Blackguard n. Villain, scoundrel.",blackguardly adj. [originally = menial]
Blackhead,n. Black-topped pimple on the skin.
Black hole,n. Region of space from which matter and radiation cannot escape.
Black ice,n. Thin hard transparent ice on a road etc.
Blacking,"n. Black polish, esp. For shoes."
Blackjack,n. = *pontoon1.
Blacklead,n. Graphite.
Blackleg,n. Derog. Person refusing to join a strike etc. v. (-gg-) act as a blackleg.
Blacklist,n. List of people in disfavour etc. v. Put on a blacklist.
Black magic,n. Magic supposed to invoke evil spirits.
Blackmail,"n. 1 a extortion of payment in return for silence. B payment so extorted. 2 use of threats or moral pressure. v. 1 (try to) extort money etc. From by blackmail. 2 threaten, coerce."
Black maria,n. Slang police van.
Black mark,n. Mark of discredit.
Black market,"n. Illicit trade in rationed, prohibited, or scarce commodities."
Black mass,"n. Travesty of the mass, in worship of satan."
Blackout,"n. 1 temporary loss of consciousness or memory. 2 loss of electric power, radio reception, etc. 3 compulsory darkness as a precaution against air raids. 4 temporary suppression of news. 5 sudden darkening of a theatre stage."
Black pepper,n. Pepper made by grinding the whole dried pepper berry including the outer husk.
Black power,n. Movement for black rights and political power.
Black pudding,"n. Sausage of pork, dried pig's blood, suet, etc."
Black rod,n. Principal usher of the house of lords etc.
Black sheep,"n. Colloq. Member of a family, group, etc. Regarded as a disgrace or failure."
Blackshirt,n. Hist.member of a fascist organization.
Blacksmith,n. Smith who works in iron.
Black spot,n. 1 place of danger or trouble. 2 plant disease producing black spots.
Black tea,n. Tea that is fully fermented before drying.
Blackthorn,n. Thorny shrub bearing white blossom and sloes.
Black tie,n. 1 black bow-tie worn with a dinner jacket. 2 colloq. Man's formal evening dress.
Black velvet,n. Mixture of stout and champagne.
Black watch,n. (prec. By the) royal highland regiment.
Black widow,n. Venomous spider of which the female devours the male.
Bladder,"n. 1 a sac in some animals, esp. That holding urine. B this adapted for various uses. 2 inflated blister in seaweed etc. [old english]"
Bladderwrack,n. Brown seaweed with air bladders.
Blade,"n. 1 cutting part of a knife etc. 2 flattened part of an oar, propeller, etc. 3 a flat narrow leaf of grass etc. B broad thin part of a leaf. 4 flat bone, e.g. In the shoulder. [old english]"
Blame,v. (-ming) 1 assign fault or responsibility to. 2 (foll. By on) fix responsibility for (an error etc.) On (blamed it on his brother). n. 1 responsibility for an error etc. 2 blaming or attributing of responsibility (got all the blame).
Blanch,v. 1 make or become white or pale. 2 a peel (almonds etc.) By scalding. B immerse (vegetables etc.) Briefly in boiling water. 3 whiten (a plant) by depriving it of light. [french: related to *blank]
Blancmange,"n. Sweet opaque jelly of flavoured cornflour and milk. [french, = white food]"
Bland,"adj. 1 a mild, not irritating. B tasteless; insipid. 2 gentle in manner; suave."
Blandish,v. Flatter; coax.
Blank,"adj. 1 a (of paper) not written or printed on. B (of a document) with spaces left for a signature or details. 2 a empty (blank space). B unrelieved (blank wall). 3 a without interest, result, or expression (blank face). B having (temporarily) no knowledge etc. (mind went blank). 4 complete (a blank refusal; blank despair). n. 1 a unfilled space, esp. In a document. B document having blank spaces. 2 (in full blank cartridge) cartridge containing gunpowder but no bullet. 3 dash written instead of a word or letter. v. (usu. Foll. By off, out) screen, obscure."
Blank cheque,n. 1 cheque left for the payee to fill in. 2 colloq. Unlimited freedom of action.
Blanket,"n. 1 large esp. Woollen sheet used as a bed-covering etc. 2 thick covering mass or layer. attrib. Adj. Covering everything; inclusive. v. (-t-) 1 cover. 2 stifle, suppress. [french: related to *blank]"
Blanket bath,n. Body wash given to a bedridden patient.
Blanket stitch,n. Stitch used to finish the edges of a blanket etc.
Blank verse,"n. Unrhymed verse, esp. Iambic pentameters."
Blare,"v. (-ring) 1 sound or utter loudly. 2 make the sound of a trumpet. n. Blaring sound. [low german or dutch, imitative]"
Blarney,"n. Cajoling talk; flattery. v. (-eys, -eyed) flatter, cajole. [blarney, castle near cork]"
Blas,adj. Bored or indifferent through over-familiarity. [french]
Blaspheme,v. (-ming) 1 use religious names irreverently; treat a religious or sacred subject irreverently. 2 talk irreverently about; use blasphemy against. [greek blasphemeo]
Blasphemy,n. (pl. -ies) 1 irreverent talk or treatment of a religious or sacred thing. 2 instance of this.
Blast,"n. 1 strong gust of air. 2 a explosion. B destructive wave of air from this. 3 loud note from a wind instrument, car horn, etc. 4 colloq. Severe reprimand. v. 1 blow up with explosives. 2 wither, blight (blasted oak; blasted her hopes). 3 (cause to) make a loud noise. int. Expressing annoyance."
Blasted,colloq. attrib. Adj. Damned; annoying. adv. Damned; extremely.
Blast-furnace,n. Smelting furnace into which hot air is driven.
Blast-off,n. Launching of a rocket etc.
Blatant,"adj. 1 flagrant, unashamed. 2 loudly obtrusive."
Blather,(also blether) n. Foolish talk. v. Talk foolishly. [old norse]
Blaze1,"n. 1 bright flame or fire. 2 violent outburst (of passion etc.). 3 brilliant display (blaze of scarlet, of glory). v. (-zing) 1 burn or shine brightly or fiercely. 2 be consumed with anger, excitement, etc."
Blaze2,"n. 1 white mark on an animal's face. 2 mark cut on a tree, esp. To show a route. v. (-zing) mark (a tree or a path) with blazes."
Blazer,"n. Jacket without matching trousers, esp. Lightweight and often part of a uniform. [from *blaze1]"
Blazon,v. 1 proclaim (esp. Blazon abroad). 2 heraldry describe or paint (arms). n. Heraldry shield or coat of arms.
Bleach,v. Whiten in sunlight or by a chemical process. n. Bleaching substance or process. [old english]
Bleak,"adj. 1 exposed, windswept. 2 dreary, grim. [old norse]"
Bleary,"adj. (-ier, -iest) 1 dim; blurred. 2 indistinct. [low german]"
Bleary-eyed,adj. Having dim sight.
Bleat,"v. 1 (of a sheep, goat, or calf) make a wavering cry. 2 (often foll. By out) speak or say plaintively. n. Bleating cry. [old english]"
Bleed,v. (past and past part. Bled) 1 emit blood. 2 draw blood from surgically. 3 colloq. Extort money from. 4 (often foll. By for) suffer wounds or violent death. 5 a emit sap. B (of dye) come out in water. 6 empty (a system) of excess air or fluid. n. Act of bleeding.
Bleeder,n. Coarse slang unpleasant or contemptible person.
Bleeding,adj. & adv. Coarse slang expressing annoyance or antipathy.
Bleep,n. Intermittent high-pitched electronic sound. v. 1 make a bleep. 2 summon with a bleeper. [imitative]
Bleeper,n. Small electronic device bleeping to contact the carrier.
Blemish,"n. Flaw, defect, or stain. v. Spoil, mark, or stain. [french]"
Blench,"v. Flinch, quail. [old english]"
Blend,"v. 1 mix together as required. 2 become one. 3 (often foll. By with, in) mingle; mix thoroughly. 4 (esp. Of colours) merge imperceptibly; harmonize. n. Mixture. [old norse]"
Blender,"n. Machine for liquidizing, chopping, or pureing food."
Blenny,n. (pl. -ies) small spiny-finned scaleless marine fish. [greek blennos mucus]
Bless,"v. (past and past part. Blessed, poet. Blest) 1 ask god to look favourably on, esp. By making the sign of the cross over. 2 consecrate (food etc.). 3 glorify (god). 4 attribute one's good luck to (stars etc.); thank. 5 (usu. In passive) make happy or successful (blessed with children)."
Blessed,adj. (also poet. Blest) 1 holy. 2 euphem. Cursed (blessed nuisance!). 3 rc ch. Beatified.
Blessing,n. 1 invocation of (esp. Divine) favour. 2 grace said at a meal. 3 benefit.
Blether,var. Of *blather.
Blew,past of *blow1.
Blether,var. Of *blather.
Blew,past of *blow1.
Blight,"n. 1 plant disease caused by insects etc. 2 such an insect etc. 3 harmful or destructive force. 4 ugly urban area. v. 1 affect with blight. 2 harm, destroy. 3 spoil. [origin unknown]"
Blighter,n. Colloq. Contemptible or annoying person.
Blighty,"n. Mil. Slang england; home. [hindustani, = foreign]"
Blimey,"int. Coarse slang expression of surprise, contempt, etc. [(god) blind me!]"
Blimp,n. 1 (also (colonel) blimp) reactionary person. 2 small non-rigid airship. 3 soundproof cover for a cine-camera. [origin uncertain]
Blind,"adj. 1 lacking the power of sight. 2 a without adequate foresight, discernment, or information (blind effort). B (often foll. By to) unwilling or unable to appreciate a factor etc. (blind to argument). 3 not governed by purpose or reason (blind forces). 4 reckless (blind hitting). 5 a concealed (blind ditch). B closed at one end. 6 (of flying) using instruments only. 7 cookery (of a flan case etc.) Baked without a filling. v. 1 deprive of sight. 2 rob of judgement; deceive; overawe. 3 slang go recklessly. n. 1 screen for a window; awning. 2 thing used to hide the truth. 3 obstruction to sight or light. adv. Blindly."
Blind alley,n. 1 alley closed at one end. 2 futile course.
Blind date,n. Colloq. Date between two people who have not previously met.
Blind drunk,adj. Colloq. Extremely drunk.
Blindfold,v. Cover the eyes of (a person) with a tied cloth etc. n. Cloth etc. So used. adj. & adv. 1 with eyes covered. 2 without due care. [originally blindfelled = struck blind]
Blind man's buff,n. Game in which a blindfold player tries to catch others.
Blind spot,n. 1 point on the retina insensitive to light. 2 area where vision or understanding is lacking.
Blindworm,n. = *slow-worm.
Blink,"v. 1 shut and open the eyes quickly. 2 (often foll. By back) prevent (tears) by blinking. 3 shine unsteadily, flicker. n. 1 act of blinking. 2 momentary gleam or glimpse."
Blinker,n. 1 (usu. In pl.) Each of two screens on a bridle preventing lateral vision. 2 device that blinks. v. 1 obscure with blinkers. 2 (as blinkered adj.) Having narrow and prejudiced views.
Blinking,adj. & adv. Slang expressing annoyance etc. (it's blinking stupid).
Blip,n. 1 minor deviation or error. 2 quick popping sound. 3 small image on a radar screen. v. (-pp-) make a blip. [imitative]
Bliss,n. 1 perfect joy. 2 being in heaven.
Blister,"n. 1 small bubble on the skin filled with watery fluid and caused by heat or friction. 2 similar swelling on plastic, wood, etc. v. 1 come up in blisters. 2 raise a blister on. 3 attack sharply. [origin uncertain]"
Blithe,"adj. 1 cheerful, happy. 2 careless, casual."
Blithering,"attrib. Adj. Colloq. Hopeless; contemptible (esp. In blithering idiot). [blither, var. Of *blather]"
Blitt.,Abbr. Bachelor of letters. [latin baccalaureus litterarum]
Blitz,colloq. n. 1 a intensive or sudden (esp. Aerial) attack. B intensive period of work etc. (must have a blitz on this room). 2 (the blitz) german air raids on london in 1940. v. Inflict a blitz on. [abbreviation of *blitzkrieg]
Blitzkrieg,"n. Intense military campaign intended to bring about a swift victory. [german, = lightning war]"
Blizzard,n. Severe snowstorm. [origin unknown]
Bloat,"v. 1 inflate, swell. 2 (as bloated adj.) Inflated with pride, wealth, or food. 3 cure (a herring) by salting and smoking lightly. [old norse]"
Bloater,n. Bloated herring.
Blob,n. Small drop or spot. [imitative]
Bloc,n. Group of governments etc. Sharing a common purpose. [french: related to *block]
Block,"n. 1 solid piece of hard material, esp. Stone or wood. 2 this as a base for chopping etc., as a stand, or for mounting a horse from. 3 a large building, esp. When subdivided. B group of buildings between streets. 4 obstruction. 5 two or more pulleys mounted in a case. 6 piece of wood or metal engraved for printing. 7 slang head. 8 (often attrib.) Number of things as a unit, e.g. Shares, theatre seats (block booking). 9 sheets of paper glued along one edge. v. 1 a (often foll. By up) obstruct. B impede. 2 restrict the use of. 3 cricket stop (a ball) with a bat defensively."
Blockade,n. Surrounding or blocking of a place by an enemy to prevent entry and exit. v. (-ding) subject to a blockade.
Blockage,n. Obstruction.
Block and tackle,"n. System of pulleys and ropes, esp. For lifting."
Blockbuster,"n. Slang 1 thing of great power, esp. A very successful film, book, etc. 2 highly destructive bomb."
Block capitals,"n.pl. (also block letters) letters printed without serifs, or written with each letter separate and in capitals."
Blockhead,n. Stupid person.
Blockhouse,n. 1 reinforced concrete shelter. 2 hist. Small fort of timber.
Block vote,n. Vote proportional in power to the number of people a delegate represents.
Bloke,"n. Slang man, fellow. [shelta]"
Blond,"(of a woman usu. Blonde) adj. (of a person, hair, or complexion) light-coloured, fair. n. Blond person. [latin blondus yellow]"
Blood,"n. 1 usu. Red fluid circulating in the arteries and veins of animals. 2 bloodshed, esp. Killing. 3 passion, temperament. 4 race, descent, parentage (of the same blood). 5 relationship; relations (blood is thicker than water). 6 dandy. v. 1 give (a hound) a first taste of blood. 2 initiate (a person)."
Blood bank,n. Store of blood for transfusion.
Blood bath,n. Massacre.
Blood count,n. Number of corpuscles in a specific amount of blood.
Blood-curdling,adj. Horrifying.
Blood donor,n. Person giving blood for transfusion.
Blood group,n. Any of the types of human blood.
Blood-heat,"n. Normal human temperature, about 37 c or 98.4 f."
Bloodhound,n. Large keen-scented dog used in tracking.
Bloodless,adj. 1 without blood or bloodshed. 2 unemotional. 3 pale. 4 feeble.
Blood-letting,n. Surgical removal of blood.
Blood-money,n. 1 money paid as compensation for a death. 2 money paid to a killer.
Blood orange,n. Red-fleshed orange.
Blood-poisoning,n. Diseased condition caused by micro-organisms in the blood.
Blood pressure,"n. Pressure of the blood in the arteries etc., measured for diagnosis."
Blood relation,n. (also blood relative) relative by birth.
Bloodshed,n. Killing.
Bloodshot,adj. (of an eyeball) inflamed.
Blood sport,n. Sport involving the killing or wounding of animals.
Bloodstain,n. Stain caused by blood.
Bloodstream,n. Blood in circulation.
Bloodsucker,n. 1 leech. 2 extortioner.
Blood sugar,n. Amount of glucose in the blood.
Blood test,"n. Examination of blood, esp. For diagnosis."
Bloodthirsty,"adj. (-ier, -iest) eager for bloodshed."
Blood-vessel,"n. Vein, artery, or capillary carrying blood."
Bloody,"adj. (-ier, -iest) 1 of, like, running with, or smeared with blood. 2 a involving bloodshed. B bloodthirsty, cruel. 3 coarse slang expressing annoyance or antipathy, or as an intensifier (bloody fool; a bloody sight better). 4 red. adv. Coarse slang as an intensifier (bloody awful). v. (-ies, -ied) stain with blood."
Bloody mary,n. Mixture of vodka and tomato juice.
Bloody-minded,adj. Colloq. Deliberately uncooperative.
Bloom,"n. 1 a flower, esp. Cultivated. B state of flowering (in bloom). 2 one's prime (in full bloom). 3 a healthy glow of the complexion. B fine powder on fresh fruit and leaves. v. 1 bear flowers; be in flower. 2 be in one's prime; flourish. [old norse]"
Bloomer1,n. 1 slang blunder. 2 plant that blooms in a specified way.
Bloomer2,n. Long loaf with diagonal marks. [origin uncertain]
Bloomers,"n.pl. 1 women's long loose knickers. 2 hist. Women's loose knee-length trousers. [mrs a. Bloomer, name of the originator]"
Blooming,adj. 1 flourishing; healthy. 2 slang an intensifier (blooming miracle). adv. Slang an intensifier (blooming difficult).
Blossom,"n. 1 flower or mass of flowers, esp. Of a fruit-tree. 2 promising stage (blossom of youth). v. 1 open into flower. 2 mature, thrive. [old english]"
Blot,"n. 1 spot or stain of ink etc. 2 disgraceful act or quality. 3 blemish. v. (-tt-) 1 make a blot on, stain. 2 dry with blotting-paper."
Blotch,n. 1 discoloured or inflamed patch on the skin. 2 irregular patch of colour. v. Cover with blotches.
Blotter,n. Pad of blotting-paper.
Blotting-paper,n. Absorbent paper for drying wet ink.
Blotto,adj. Slang very drunk. [origin uncertain]
Blouse,n. 1 woman's garment like a shirt. 2 upper part of a military uniform. v. (-sing) make (a bodice etc.) Full like a blouse. [french]
Blouson,n. Short blouse-shaped jacket. [french]
Blow1,"v. (past blew; past part. Blown) 1 direct a current of air (at) esp. From the mouth. 2 drive or be driven by blowing (blew the door open). 3 (esp. Of the wind) move rapidly. 4 expel by breathing (blew smoke). 5 sound or be sounded by blowing. 6 (past part. Blowed) slang (esp. In imper.) Curse, confound (i'm blowed if i know; blow it!). 7 clear (the nose) by blowing. 8 puff, pant. 9 slang depart suddenly (from). 10 shatter etc. By an explosion. 11 make or shape (glass or a bubble) by blowing. 12 a melt from overloading (the fuse has blown). B break or burst suddenly. 13 (of a whale) eject air and water. 14 break into with explosives. 15 slang a squander (blew 20). B bungle (an opportunity etc.). C reveal (a secret etc.). n. 1 act of blowing. 2 a gust of wind or air. B exposure to fresh air."
Blow2,n. 1 hard stroke with a hand or weapon. 2 sudden shock or misfortune. [origin unknown]
Blow-by-blow,attrib. Adj. (of a narrative etc.) Detailed.
Blow-dry,v. Arrange (the hair) while drying it. n. Act of doing this.
Blower,n. 1 device for blowing. 2 colloq. Telephone.
Blowfly,n. Bluebottle.
Blow-hole,"n. 1 nostril of a whale. 2 hole (esp. In ice) for breathing or fishing through. 3 vent for air, smoke, etc."
Blow-job,n. Coarse slang instance of fellatio or cunnilingus.
Blowlamp,"n. Device with a very hot flame for burning off paint, plumbing, etc."
Blown,past part. Of *blow1.
Blow-out,n. Colloq. 1 burst tyre. 2 melted fuse. 3 huge meal.
Blowpipe,"n. 1 tube for blowing air through, esp. To intensify a flame or to blow glass. 2 tube for propelling poisoned darts etc. By blowing."
Blowtorch,n. Us = *blowlamp.
Blow-up,n. 1 colloq. Enlargement (of a photograph etc.). 2 explosion.
Blowy,"adj. (-ier, -iest) windy."
Blowzy,"adj. (-ier, -iest) 1 coarse-looking; red-faced. 2 slovenly. [obsolete blowze beggar's wench]"
Blub,v. (-bb-) slang sob. [shortening of *blubber]
Blubber,"n. Whale fat. v. 1 sob loudly. 2 sob out (words). adj. Swollen, thick. [probably imitative]"
Bludgeon,n. Heavy club. v. 1 beat with this. 2 coerce. [origin unknown]
Blue,"adj. (bluer, bluest) 1 having the colour of a clear sky. 2 sad, depressed. 3 pornographic (a blue film). 4 politically conservative. n. 1 blue colour or pigment. 2 blue clothes or material (dressed in blue). 3 person who represents a university in a sport, esp. Oxford or cambridge. 4 conservative party supporter. v. (blues, blued, bluing or blueing) 1 make blue. 2 slang squander."
Blue baby,n. Baby with a blue complexion due to a congenital heart defect.
Bluebell,n. Woodland plant with bell-shaped blue flowers.
Blueberry,n. (pl. -ies) small blue-black edible fruit of various plants.
Blue blood,n. Noble birth.
Blue book,n. Report issued by parliament or the privy council.
Bluebottle,n. Large buzzing fly; blowfly.
Blue cheese,n. Cheese with veins of blue mould.
Blue-collar,attrib. Adj. (of a worker or work) manual; industrial.
Blue-eyed boy,n. Colloq. Favourite.
Blue funk,n. Colloq. Terror or panic.
Bluegrass,n. A kind of instrumental country-and-western music.
Blue-pencil,"v. Censor or cut (a manuscript, film, etc.)."
Blue peter,n. Blue flag with a white square flown by a ship about to leave port.
Blueprint,n. 1 photographic print of plans in white on a blue background. 2 detailed plan.
Blue rinse,n. Bluish dye for grey hair.
Blues,"n.pl. 1 (prec. By the) bout of depression. 2 a (prec. By the; often treated as sing.) Melancholic music of black american origin, usu. In a twelve-bar sequence. B (pl. Same) (as sing.) Piece of such music (played a blues)."
Bluestocking,n. Usu. Derog. Intellectual or literary woman. [18th-c. Blue stocking society]
Blue tit,n. Common tit with a blue crest.
Blue whale,"n. Rorqual, the largest known living mammal."
Bluff1,"v. Pretend strength, confidence, etc. n. Act of bluffing."
Bluff2,"adj. 1 blunt, frank, hearty. 2 vertical or steep and broad in front. n. Steep cliff or headland. [origin unknown]"
Bluish,adj. Fairly blue.
